,rotation,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,dered_u,dered_g,dered_r,dered_i,dered_z
0,cw,18.73081,17.226670000000002,16.52792,16.112679999999997,15.8071,0.03502819,0.005926104000000001,0.004446195,0.004568695,0.00997021,18.601370000000003,17.131429999999998,16.45884,16.0603,15.769960000000001
1,cw,18.16839,16.7305,16.062070000000002,15.693229999999998,15.4478,0.03344345,0.005861993,0.004395354000000001,0.004747177,0.01143999,18.03492,16.63229,15.990839999999999,15.639220000000002,15.409510000000001
2,cw,18.718320000000002,16.95759,16.10127,15.67039,15.371120000000001,0.04156252,0.005829054,0.004081466,0.004170755,0.008847496,18.57268,16.85044,16.02355,15.61145,15.32934
3,cw,16.861629999999998,14.35995,13.473820000000002,13.04463,12.90819,0.04126815,0.003128347,0.0023114520000000003,0.002337625,0.004746664,16.624129999999997,14.1852,13.347079999999998,12.94853,12.84005
4,cw,17.71818,16.15608,15.42596,15.02881,14.77943,0.02490225,0.0036884640000000002,0.0030987059999999997,0.003122013,0.0067091930000000004,17.58631,16.05905,15.35559,14.97545,14.7416
5,cw,18.21205,16.56411,15.751489999999999,15.333739999999999,15.015120000000001,0.03017607,0.004310568,0.00344678,0.0033951759999999997,0.006804806,18.08135,16.46794,15.68174,15.28085,14.977620000000002
6,cw,18.197429999999997,16.95571,16.29624,15.89809,15.627629999999998,0.03173429,0.005029873,0.00436963,0.004423102,0.01042785,18.057760000000002,16.85295,16.2217,15.841579999999999,15.58756
7,cw,18.256079999999997,16.93025,16.12985,15.692570000000002,15.40482,0.02600389,0.004582888,0.003609055,0.003544738,0.007408265,17.9896,16.73418,15.987639999999999,15.58474,15.328370000000001
8,cw,17.66139,16.22356,15.515189999999999,15.120370000000001,14.838479999999999,0.02147506,0.003618584,0.0030648240000000003,0.003043008,0.00612827,17.41704,16.043770000000002,15.3848,15.02149,14.76837
9,cw,18.73006,16.89507,15.951229999999999,15.50542,15.17175,0.07322558,0.006802434,0.004864407,0.004775312,0.01081888,18.364929999999998,16.6264,15.75637,15.35767,15.066989999999999
10,cw,18.72441,17.35866,16.435760000000002,16.01735,15.75063,0.06357329,0.008776519,0.00616182,0.006222035999999999,0.01539851,18.3939,17.115479999999998,16.25939,15.883610000000001,15.65581
11,cw,18.974529999999998,17.26736,16.56354,16.22544,15.927229999999998,0.08767028,0.008402086,0.007035033,0.00769495,0.01944469,18.40154,16.84575,16.25776,15.99358,15.762839999999999
12,cw,16.98935,15.79623,15.347439999999999,15.02581,14.856179999999998,0.01208087,0.0029850540000000004,0.002806328,0.002930815,0.006508024,16.854960000000002,15.697339999999999,15.275720000000002,14.971429999999998,14.817620000000002
13,cw,18.586270000000003,17.255570000000002,16.52201,16.15012,15.8437,0.03460841,0.0066405019999999995,0.005286055,0.005796543,0.012125499999999999,18.480970000000003,17.17809,16.46581,16.10751,15.81349
14,cw,17.9926,16.63952,15.906870000000001,15.52425,15.251320000000002,0.02244953,0.004391456,0.0036901729999999997,0.003633946,0.008587088,17.842010000000002,16.52872,15.82651,15.46331,15.208120000000001
15,cw,17.384629999999998,15.7122,14.83107,14.39276,14.081660000000001,0.02515894,0.003571962,0.002766641,0.0027811040000000004,0.005941173,17.2205,15.591429999999999,14.74347,14.32634,14.03457
16,cw,18.861929999999997,17.424210000000002,16.72585,16.33071,16.08324,0.05132484,0.00725273,0.005844988000000001,0.0061083990000000005,0.01685703,18.6511,17.26909,16.61334,16.2454,16.02276
17,cw,18.53905,17.34785,16.73161,16.36332,16.16849,0.03194668,0.006249951,0.005293494,0.005501079,0.01485672,18.32846,17.1929,16.619229999999998,16.2781,16.10807
18,cw,16.434910000000002,15.07345,14.47618,14.1647,13.97914,0.0117415,0.002563877,0.0024761320000000002,0.00257511,0.005976466999999999,16.17539,14.8825,14.337679999999999,14.059679999999998,13.904679999999999
19,cw,18.906589999999998,17.71366,17.04992,16.69549,16.48968,0.05179819,0.008754148,0.007239189,0.007896999,0.0238459,18.69651,17.559079999999998,16.93781,16.61048,16.4294
20,cw,17.43623,16.11862,15.502089999999999,15.18656,14.9635,0.01914261,0.003753658,0.0033827740000000003,0.0034365859999999997,0.008683919,17.209629999999997,15.95188,15.381160000000001,15.09486,14.898489999999999
21,cw,18.47717,17.19213,16.698729999999998,16.42333,16.281129999999997,0.04202884,0.006447815,0.00589313,0.008328700000000001,0.02843093,18.207079999999998,16.9934,16.5546,16.31404,16.20364
22,cw,18.62705,17.209979999999998,16.550320000000003,16.19782,15.92544,0.03710173,0.006355124,0.0052424,0.005501166,0.01618491,18.34619,17.003320000000002,16.40044,16.08417,15.84486
23,cw,19.01507,17.25307,16.45064,16.022029999999997,15.69125,0.05671657,0.006060212,0.004682843,0.004742048,0.01195685,18.69675,17.01886,16.28077,15.893220000000001,15.599920000000001
24,cw,17.03819,15.7599,15.18917,14.857520000000001,14.679520000000002,0.01594224,0.0031475920000000003,0.0028489229999999997,0.002985637,0.0071663809999999994,16.73516,15.536929999999998,15.027460000000001,14.7349,14.592579999999998
25,cw,18.84936,17.32333,16.66562,16.25967,16.083270000000002,0.04741338,0.0066247580000000006,0.0054012290000000004,0.005539306,0.01807146,18.71935,17.22768,16.596239999999998,16.207060000000002,16.04598
26,cw,18.99496,17.46667,16.71436,16.32222,16.09937,0.05465142,0.006968469000000001,0.0055727,0.005844144,0.01922669,18.86805,17.37329,16.64663,16.270870000000002,16.06296
27,cw,18.08365,16.25678,15.352429999999998,14.91505,14.58491,0.03161509,0.003908073,0.003036582,0.0030477840000000004,0.0070611219999999995,17.94124,16.152,15.27643,14.857420000000001,14.54405
28,cw,17.00733,15.36555,14.61191,14.25448,13.97079,0.0207573,0.0030789109999999997,0.0026295190000000003,0.0027209029999999998,0.0065697659999999995,16.80225,15.21466,14.50247,14.1715,13.91195
29,cw,17.43368,16.12109,15.54505,15.16585,14.970939999999999,0.01745857,0.00350464,0.0031673609999999996,0.003264112,0.008377627,17.2308,15.971820000000001,15.436779999999999,15.08375,14.91274
30,cw,18.96247,17.232120000000002,16.38389,15.91724,15.5779,0.04433217,0.006381237,0.004135934,0.003997639,0.01016069,18.77105,17.091279999999998,16.28174,15.83978,15.522979999999999
31,cw,19.15961,17.74276,17.127879999999998,16.7539,16.51786,0.05059536,0.0072070780000000004,0.006560720999999999,0.006766825,0.022224599999999997,18.82903,17.49952,16.95147,16.62013,16.42302
32,cw,19.2468,17.8931,17.135920000000002,16.70461,16.46184,0.05413876,0.007747615,0.00615151,0.006234302,0.01993817,18.91443,17.64855,16.95855,16.57011,16.36648
33,cw,19.08126,17.404410000000002,16.55029,16.14017,15.84479,0.06418316,0.007473781999999999,0.005985925,0.006792435,0.01709857,18.68811,17.11514,16.34048,15.981079999999999,15.73199
34,cw,17.73524,16.37838,15.72913,15.344570000000001,15.11423,0.01783337,0.003578975,0.0031146999999999998,0.0033209790000000004,0.006531886999999999,17.599870000000003,16.278779999999998,15.656889999999999,15.28979,15.075389999999999
35,cw,17.81278,16.81105,16.41005,16.09169,15.920910000000001,0.01529205,0.003993458,0.0038117159999999997,0.0042325309999999994,0.009419924,17.67569,16.710179999999998,16.33689,16.03622,15.881570000000002
36,cw,16.92834,15.54279,14.84469,14.482870000000002,14.209829999999998,0.01346862,0.002968875,0.002563859,0.0026999520000000003,0.004786187,16.784470000000002,15.436929999999998,14.76791,14.42465,14.16855
37,cw,17.03404,15.593079999999999,14.934520000000001,14.60546,14.378620000000002,0.01976898,0.00312213,0.002743133,0.0030260779999999998,0.006302881,16.79972,15.42066,14.809470000000001,14.510639999999999,14.31139
38,cw,19.34429,17.75297,16.96584,16.57744,16.28754,0.06403198,0.007820688000000001,0.006082065,0.006794833,0.01560888,19.04736,17.534489999999998,16.807370000000002,16.45729,16.20235
39,cw,18.733179999999997,17.371270000000003,16.75123,16.44681,16.24616,0.04658192,0.007531482,0.0062594059999999995,0.006565523,0.016544200000000002,18.45361,17.16556,16.60204,16.333679999999998,16.16595
40,cw,18.235570000000003,16.89477,16.22271,15.83068,15.540779999999998,0.04453012,0.006427395,0.005304159,0.005702771999999999,0.01339123,18.15908,16.83849,16.18189,15.799729999999998,15.51883
41,cw,18.38554,16.65545,15.94416,15.56947,15.31059,0.04020228,0.00444255,0.003626665,0.003912792,0.009023895,18.254260000000002,16.55885,15.874089999999999,15.51634,15.272920000000001
42,cw,17.2158,15.90964,15.32555,14.96941,14.71275,0.0163893,0.0034311209999999997,0.003174352,0.003367508,0.0062873009999999995,17.001520000000003,15.751970000000002,15.21119,14.8827,14.651270000000002
43,cw,17.51899,16.42762,15.904060000000001,15.55365,15.38592,0.02485053,0.004728298,0.004387526,0.004830399,0.01240133,17.33607,16.293020000000002,15.80644,15.47962,15.33344
44,cw,17.14939,15.594170000000002,14.840770000000001,14.42646,14.153139999999999,0.01737093,0.002855807,0.002461409,0.002524587,0.004671375,16.98565,15.473679999999998,14.753379999999998,14.3602,14.106160000000001
45,cw,18.87142,17.58697,16.84423,16.427039999999998,16.13265,0.03527734,0.005750665,0.004627554,0.004835109000000001,0.01074675,18.74735,17.49568,16.77802,16.376829999999998,16.09705
46,cw,17.01135,15.34021,14.6251,14.24445,13.949979999999998,0.01410885,0.002596499,0.0023057810000000002,0.00237332,0.003980754,16.859920000000002,15.228779999999999,14.54429,14.18317,13.90654
47,cw,17.78736,16.30834,15.59045,15.180760000000001,14.90725,0.03475508,0.004763216,0.0039175040000000005,0.0041708959999999995,0.00955986,17.6089,16.17703,15.49521,15.10854,14.85605
48,cw,15.87739,14.65668,14.206079999999998,13.97606,13.812970000000002,0.008697193,0.002207702,0.002142947,0.002320162,0.004618288,15.677629999999999,14.5097,14.099479999999998,13.895220000000002,13.75565
49,cw,18.75699,17.31798,16.67286,16.2952,16.05763,0.051733900000000006,0.008149304,0.006463686,0.0069660780000000005,0.01826899,18.5937,17.19783,16.585720000000002,16.229129999999998,16.01078
50,cw,16.47389,15.122570000000001,14.468129999999999,14.07634,13.777029999999998,0.008781049,0.002530123,0.002276888,0.002341289,0.00393211,16.293329999999997,14.989720000000002,14.37178,14.003279999999998,13.725220000000002
51,cw,17.336679999999998,15.588410000000001,14.7736,14.36985,14.07174,0.02072233,0.003415954,0.002733587,0.002847725,0.005762270999999999,17.13358,15.438970000000001,14.66521,14.28767,14.013470000000002
52,cw,18.90348,17.321939999999998,16.35548,15.862620000000001,15.532910000000001,0.06205972,0.008877424,0.005790907,0.005975047,0.01390243,18.69535,17.1688,16.24442,15.7784,15.473189999999999
53,cw,17.82527,16.38542,15.702810000000001,15.348329999999999,15.123870000000002,0.02944648,0.00508642,0.00419761,0.004708809,0.01228478,17.67793,16.27701,15.624179999999999,15.28871,15.08159
54,cw,18.517970000000002,17.02831,16.23085,15.79965,15.51423,0.04092082,0.005453911999999999,0.004472079,0.004410937,0.009989582,18.39356,16.936770000000003,16.164460000000002,15.749310000000001,15.47853
55,cw,18.04277,16.69053,16.0348,15.66966,15.412270000000001,0.02670065,0.0041419890000000004,0.0037257590000000004,0.003843217,0.00889608,17.93069,16.60807,15.97499,15.624310000000001,15.380120000000002
56,cw,18.59061,17.074170000000002,16.181379999999997,15.7775,15.48877,0.06707165,0.007432669,0.005702525,0.005879764,0.01499705,18.48125,16.9937,16.12302,15.73325,15.4574
57,cw,17.654429999999998,15.740839999999999,14.943370000000002,14.50283,14.14347,0.02637875,0.003291325,0.0027872640000000002,0.00272911,0.0050137490000000005,17.49846,15.626079999999998,14.86014,14.439720000000001,14.098729999999998
58,cw,16.0939,14.57528,13.889000000000001,13.535120000000001,13.270420000000001,0.01068515,0.002252049,0.002094892,0.002136995,0.0037480609999999996,15.9405,14.46241,13.807139999999999,13.47305,13.226410000000001
59,cw,17.270220000000002,15.824979999999998,15.184370000000001,14.84419,14.574520000000001,0.02724563,0.003729948,0.003498978,0.003823342,0.009762650999999999,17.14782,15.73492,15.11905,14.79466,14.5394
60,cw,18.15287,16.692870000000003,15.97892,15.604510000000001,15.358229999999999,0.0433595,0.005308801,0.004783689,0.005207222,0.01411143,18.00329,16.5828,15.89909,15.54398,15.31531
61,cw,18.14335,16.73911,16.086129999999997,15.774000000000001,15.538529999999998,0.02658554,0.004411502,0.00391079,0.004315498,0.01144171,18.01312,16.643279999999997,16.01663,15.7213,15.50116
62,cw,16.95806,15.635810000000001,15.03403,14.69474,14.446720000000001,0.01201414,0.00283524,0.002642028,0.002799892,0.006279891,16.79208,15.513689999999999,14.94545,14.627579999999998,14.3991
63,cw,18.36605,16.955370000000002,16.28922,15.90461,15.61305,0.02679035,0.004950922,0.004599277,0.004959748,0.01158529,18.226670000000002,16.85281,16.21483,15.84821,15.57306
64,cw,17.48392,16.19828,15.531529999999998,15.130529999999998,14.870170000000002,0.02246451,0.004047991,0.0036588759999999997,0.003918931,0.01055493,17.35879,16.10621,15.46476,15.0799,14.834270000000002
65,cw,15.654379999999998,13.7461,12.94841,12.555860000000001,12.296439999999999,0.01302808,0.002179367,0.0018912170000000002,0.0020018320000000003,0.0037384159999999996,15.496889999999999,13.630220000000001,12.86437,12.49214,12.25126
66,cw,18.17703,16.71325,16.039460000000002,15.6833,15.470310000000001,0.03650309,0.004936726,0.004531137,0.004984612,0.01657195,18.04459,16.6158,15.968770000000001,15.629710000000001,15.43232
67,cw,16.08606,14.77689,14.1167,13.77846,13.52741,0.009820649,0.0024218729999999997,0.002260377,0.0023483510000000003,0.00511744,15.96609,14.688629999999998,14.052679999999999,13.72991,13.493
68,cw,19.0004,17.31575,16.54448,16.16376,15.83815,0.05427589,0.006880796,0.005678992,0.006565431,0.01502917,18.84579,17.20198,16.46197,16.10119,15.79379
69,cw,16.72042,15.545639999999999,15.006229999999999,14.68738,14.4733,0.01206708,0.00297048,0.002741012,0.0030836609999999997,0.006414041,16.56725,15.432929999999999,14.924489999999999,14.62539,14.42935
70,cw,17.35246,15.7066,14.97519,14.569820000000002,14.30925,0.0291334,0.003981242,0.0031071909999999996,0.003233008,0.007353444000000001,17.11465,15.531620000000002,14.848279999999999,14.47359,14.24102
71,cw,17.850170000000002,16.19361,15.325460000000001,14.88765,14.5464,0.02079242,0.003574545,0.002790061,0.002814175,0.004964397,17.718320000000002,16.09659,15.2551,14.8343,14.50857
72,cw,18.05536,16.4941,15.70362,15.30011,14.981470000000002,0.02921588,0.004753671,0.003549159,0.003644062,0.0077241340000000006,17.91423,16.39026,15.62831,15.243,14.94098
73,cw,18.29201,16.808239999999998,16.01184,15.601529999999999,15.303270000000001,0.04894266,0.007277973,0.005094887,0.00539259,0.0137232,18.154,16.70669,15.938189999999999,15.545679999999999,15.263670000000001
74,cw,18.45584,17.32316,16.71867,16.359460000000002,16.1396,0.02983607,0.010570200000000002,0.005265026,0.005875742,0.01652513,18.2659,17.183410000000002,16.61731,16.2826,16.0851
75,cw,18.43435,17.33315,16.76991,16.33032,16.1837,0.04034338,0.008923064,0.007233548,0.007793095999999999,0.02144451,18.20109,17.16151,16.645429999999998,16.23593,16.116770000000002
76,cw,17.933889999999998,16.46659,15.75414,15.357870000000002,15.09515,0.03392217,0.005226702,0.0040568209999999995,0.004439932,0.01125341,17.75935,16.33817,15.66099,15.287239999999999,15.045079999999999
77,cw,18.16808,16.676679999999998,15.959270000000002,15.54398,15.28486,0.03134794,0.005023848,0.003934551,0.004191587,0.009955245,17.99075,16.546210000000002,15.86464,15.472220000000002,15.233989999999999
78,cw,18.43619,17.29636,16.86945,16.58486,16.41079,0.02882301,0.006264111,0.006119967,0.007315304,0.01781384,18.25131,17.16033,16.770789999999998,16.51005,16.35775
79,cw,18.27282,16.8975,16.18637,15.78456,15.526520000000001,0.03766471,0.005113839,0.004268825,0.004376025,0.01072652,18.16052,16.814870000000003,16.12644,15.73911,15.49429
80,cw,18.7935,17.20081,16.36828,15.94121,15.61629,0.0663286,0.006762759,0.005168906,0.005248365,0.01259483,18.65624,17.09981,16.29503,15.885670000000001,15.57691
81,cw,18.206960000000002,16.72547,15.94426,15.549370000000001,15.26726,0.04527592,0.005228955,0.00422258,0.004455633,0.01121892,18.05293,16.61213,15.862060000000001,15.487039999999999,15.223070000000002
82,cw,19.11153,17.34502,16.43124,15.997679999999999,15.630370000000001,0.06875738,0.00717267,0.005182913,0.005302426999999999,0.01319793,18.792370000000002,17.11019,16.260920000000002,15.868529999999998,15.5388
83,cw,17.793870000000002,16.56147,16.00631,15.6497,15.443589999999999,0.02694084,0.004900545,0.004380106,0.0046911190000000005,0.01310962,17.654970000000002,16.45927,15.93219,15.59349,15.403739999999999
84,cw,17.18623,15.926839999999999,15.33809,14.9899,14.77631,0.01818699,0.003452625,0.003105068,0.003299522,0.00849918,17.03485,15.81545,15.25731,14.92864,14.732870000000002
85,cw,18.66011,17.348760000000002,16.6924,16.30636,16.0622,0.05183367,0.007384590999999999,0.006252865,0.006802119000000001,0.02038186,18.523629999999997,17.24835,16.61957,16.25114,16.023039999999998
86,cw,18.04356,16.73003,16.09252,15.65135,15.36789,0.02360725,0.004381271,0.0037590559999999998,0.0038289129999999998,0.00895358,17.896279999999997,16.621660000000002,16.013920000000002,15.59175,15.325629999999999
87,cw,18.092270000000003,16.537770000000002,15.785110000000001,15.391520000000002,15.08213,0.02945568,0.004225775,0.003507986,0.0037239290000000004,0.009023588,17.979470000000003,16.45477,15.724910000000001,15.345870000000001,15.04977
88,cw,18.52603,16.70805,15.79156,15.358579999999998,15.001439999999999,0.04321296,0.004947095,0.003700995,0.0038223209999999996,0.008696448,18.37109,16.59406,15.708879999999999,15.29589,14.95699
89,cw,18.270220000000002,16.72256,15.887070000000001,15.45548,15.103520000000001,0.04799591,0.005892412,0.0045107920000000004,0.004595902,0.01298619,18.166,16.64588,15.83145,15.413310000000001,15.073620000000002
90,cw,19.16369,17.457729999999998,16.59984,16.151229999999998,15.7812,0.06082353,0.006526400999999999,0.01760367,0.005396257,0.01391819,19.019479999999998,17.35162,16.522879999999997,16.092879999999997,15.73983
91,cw,18.69625,17.17324,16.29635,15.85114,15.57985,0.04890638,0.006277016,0.004792961,0.004974346,0.0140953,18.58835,17.09385,16.238770000000002,15.807479999999998,15.5489
92,cw,17.396639999999998,15.922310000000001,15.198939999999999,14.82252,14.5244,0.02118964,0.003440479,0.002931775,0.003157582,0.006306728,17.19495,15.7739,15.0913,14.7409,14.466529999999999
93,cw,17.08544,16.02532,15.50106,15.23975,15.0094,0.01348315,0.0032791540000000003,0.0030777490000000003,0.003583203,0.008142858000000001,16.979589999999998,15.94744,15.444579999999998,15.19692,14.979029999999998
94,cw,18.1578,17.03746,16.4459,16.071089999999998,15.78767,0.03486926,0.006661879,0.005980928000000001,0.006895202,0.01629239,17.99865,16.920360000000002,16.360970000000002,16.00669,15.74201
95,cw,15.70234,14.21879,13.514829999999998,13.0962,12.810989999999999,0.01206911,0.002280897,0.0020469620000000003,0.002091635,0.0036099490000000003,15.595629999999998,14.140279999999999,13.457889999999999,13.05303,12.780380000000001
96,cw,17.83184,16.47917,15.789929999999998,15.3901,15.143820000000002,0.02723754,0.004063118,0.003492491,0.00370332,0.008726956,17.717489999999998,16.39503,15.7289,15.343820000000001,15.11101
97,cw,17.051029999999997,15.54621,14.8746,14.51922,14.25574,0.02923614,0.003000702,0.0025436070000000002,0.00279004,0.00550345,16.9007,15.43559,14.79437,14.45839,14.2126
98,cw,18.65084,17.42336,16.828870000000002,16.47318,16.24373,0.04840514,0.008260195,0.008011296999999999,0.008783799,0.02020281,18.472929999999998,17.292460000000002,16.733929999999997,16.40119,16.19269
99,cw,18.14556,16.825779999999998,16.09655,15.687510000000001,15.38856,0.0403556,0.005931046999999999,0.004901191,0.005377951999999999,0.01299247,18.01765,16.73167,16.02829,15.63575,15.35186
100,cw,18.26875,17.192629999999998,16.7518,16.41036,16.242639999999998,0.03475481,0.006218176,0.006080164,0.006976099,0.01985359,18.11983,17.08306,16.67233,16.3501,16.199920000000002
101,cw,16.167189999999998,14.97979,14.391539999999999,13.968720000000001,13.71538,0.01078795,0.002536042,0.002306161,0.002365462,0.004478281,15.86943,14.7607,14.232629999999999,13.84823,13.62995
102,cw,18.28705,16.31474,15.67791,15.2627,14.71592,0.03423645,0.003738891,0.0033821520000000002,0.003325269,0.0055222480000000004,18.0997,16.17689,15.57792,15.186879999999999,14.66216
103,cw,17.12596,15.87033,15.29705,14.97323,14.735029999999998,0.01513845,0.003211068,0.0028949709999999997,0.003004163,0.006957176999999999,16.93229,15.727829999999999,15.1937,14.894860000000001,14.67946
104,cw,18.52467,17.3274,16.92503,16.65887,16.44497,0.04284063,0.006589780999999999,0.006832225999999999,0.007583505,0.02930016,18.365,17.20992,16.83982,16.594260000000002,16.399160000000002
105,cw,17.47468,16.17492,15.583720000000001,15.2699,15.01266,0.02052734,0.004131636,0.0034529779999999998,0.0036464540000000004,0.01002876,17.32986,16.068360000000002,15.50644,15.2113,14.971110000000001
106,cw,18.21003,16.691010000000002,16.12627,15.839329999999999,15.648179999999998,0.03841259,0.005116319,0.004597756,0.005479596,0.01360861,18.002270000000003,16.53815,16.0154,15.75526,15.58857
107,cw,17.77519,16.429029999999997,15.78139,15.39366,15.156329999999999,0.02296796,0.0038280379999999998,0.003317011,0.0035422540000000003,0.007463559,17.5399,16.25591,15.655829999999998,15.29845,15.088829999999998
108,cw,18.21924,17.2204,16.72672,16.367739999999998,16.1693,0.02399638,0.005504932,0.005029039,0.0056083290000000004,0.0132431,17.99256,17.05361,16.60575,16.27601,16.10427
109,cw,18.66041,17.405279999999998,16.93729,16.7004,16.5474,0.05719936,0.008945713000000001,0.007669438000000001,0.008852874,0.03093302,18.457829999999998,17.256220000000003,16.829179999999997,16.61842,16.48927
110,cw,18.78209,17.6221,17.219929999999998,16.91236,16.69634,0.05465139,0.008766197,0.00883618,0.009497697,0.02669535,18.499270000000003,17.41401,17.069000000000003,16.79792,16.6152
111,cw,18.21973,16.88212,16.136229999999998,15.75725,15.5038,0.03797157,0.005416684000000001,0.004378268,0.0043232470000000005,0.01046802,17.98047,16.70607,16.00854,15.660429999999998,15.43515
112,cw,17.40717,16.03206,15.33164,14.9516,14.69621,0.01974447,0.0033346779999999998,0.002902057,0.002846579,0.005697205,17.26333,15.926229999999999,15.254879999999998,14.89339,14.65495
113,cw,18.78238,17.50352,16.8842,16.55251,16.32762,0.06097637,0.007966409,0.007032524,0.007250215,0.02012276,18.67155,17.42197,16.82506,16.50766,16.295820000000003
114,cw,17.143929999999997,15.92345,15.24965,14.8691,14.559289999999999,0.01583911,0.00353233,0.003030262,0.00302655,0.006306036,16.831210000000002,15.69335,15.082770000000002,14.74255,14.469570000000001
115,cw,16.62921,15.29825,14.60385,14.200520000000001,13.931920000000002,0.01395122,0.002876971,0.002526806,0.002502438,0.005017857,16.488039999999998,15.194370000000001,14.52851,14.14339,13.891420000000002
116,cw,18.36297,17.08011,16.43881,16.05925,15.84045,0.0396584,0.006644095,0.005688632,0.005668534,0.01561405,18.24735,16.99504,16.377110000000002,16.01246,15.807279999999999
117,cw,15.42336,14.157020000000001,13.50518,13.139870000000002,12.835930000000001,0.0070973,0.002096779,0.001933952,0.001922985,0.00309207,15.2984,14.065079999999998,13.4385,13.0893,12.80008
118,cw,18.64682,17.24677,16.56275,16.19217,15.951720000000002,0.04402916,0.006997286,0.005721945,0.005456805,0.01494045,18.5348,17.16435,16.50296,16.14684,15.919579999999998
119,cw,17.19332,15.761970000000002,15.08748,14.72775,14.451260000000001,0.02251467,0.004296255,0.004310042,0.004615403,0.00936443,16.94463,15.57898,14.954770000000002,14.62711,14.37991
120,cw,17.85506,16.19199,15.381929999999999,14.918970000000002,14.57518,0.03802712,0.004335606,0.00345357,0.003311174,0.0077211580000000005,17.56738,15.980310000000001,15.2284,14.80256,14.49264
121,cw,18.47409,16.94238,16.23789,15.81425,15.5318,0.04234771,0.005353114,0.004459777,0.004415105999999999,0.01287358,18.3053,16.818179999999998,16.14781,15.74595,15.48337
122,cw,17.66324,16.34805,15.695160000000001,15.26615,15.007620000000001,0.02346207,0.003990359000000001,0.003513108,0.003432203,0.0092152,17.56777,16.2778,15.644210000000001,15.227520000000002,14.980229999999999
123,cw,17.878020000000003,16.62836,16.2155,15.948579999999998,15.781189999999999,0.03597461,0.0054802159999999996,0.005632361,0.006171235,0.022936099999999997,17.7894,16.56316,16.168210000000002,15.912720000000002,15.75576
124,cw,16.67577,15.525089999999999,15.01635,14.70669,14.51481,0.01477755,0.003117145,0.002995015,0.003067862,0.008388017,16.46519,15.37015,14.903970000000001,14.621479999999998,14.45439
125,cw,17.60057,16.142310000000002,15.426039999999999,15.006910000000001,14.726120000000002,0.02506128,0.00390564,0.003332356,0.003259029,0.00819206,17.47136,16.04724,15.35709,14.954620000000002,14.68905
126,cw,16.97605,15.28464,14.52273,14.133970000000001,13.826579999999998,0.0178548,0.002956577,0.002520208,0.002600084,0.004620924,16.72044,15.09656,14.386320000000001,14.03054,13.75324
127,cw,16.103379999999998,14.797039999999999,14.193079999999998,13.821079999999998,13.542729999999999,0.009511035,0.002366682,0.002191151,0.002243887,0.00368782,15.91332,14.65719,14.09165,13.74417,13.4882
128,cw,17.34773,16.24276,15.781670000000002,15.528189999999999,15.370170000000002,0.01875411,0.00401142,0.003829975,0.004378949,0.01068007,17.2451,16.16725,15.7269,15.48666,15.340720000000001
129,cw,16.89421,15.59476,14.9655,14.62475,14.40329,0.01789403,0.003339205,0.002971147,0.003148418,0.006834935,16.70938,15.458770000000001,14.86687,14.54996,14.350270000000002
130,cw,16.949089999999998,15.19995,14.4775,14.105839999999999,13.85721,0.03184279,0.003520628,0.0029813290000000004,0.003100948,0.007111399,16.741989999999998,15.04757,14.366979999999998,14.022029999999999,13.797789999999999
131,cw,18.57873,17.136039999999998,16.25929,15.756570000000002,15.43225,0.04679199,0.006251533,0.004672785,0.00445627,0.009677578000000001,18.43345,17.029139999999998,16.18176,15.697779999999998,15.39057
132,cw,17.5307,15.680860000000001,14.82194,14.35856,14.005379999999999,0.03009552,0.003408898,0.002734027,0.0026992709999999996,0.004920404000000001,17.400389999999998,15.584979999999998,14.7524,14.305829999999998,13.968
133,cw,16.66743,14.980170000000001,14.31145,13.93255,13.70881,0.02793513,0.003310386,0.00286543,0.002967075,0.006739289,16.49168,14.85085,14.21766,13.861429999999999,13.65838
134,cw,16.32366,15.15139,14.58605,14.2983,14.03316,0.008954316,0.002618379,0.002347133,0.002411768,0.004293259000000001,16.27647,15.116670000000001,14.560870000000001,14.2792,14.019620000000002
135,cw,17.279529999999998,15.92961,15.293370000000001,14.94224,14.656789999999999,0.02418474,0.00374769,0.0033162829999999997,0.003331147,0.00748274,17.23382,15.895970000000002,15.268970000000001,14.923739999999999,14.643679999999998
136,cw,16.759529999999998,15.551860000000001,15.06895,14.84185,14.60956,0.01263192,0.002928021,0.002788802,0.00318434,0.006270368,16.69138,15.501710000000001,15.03258,14.81427,14.590010000000001
137,cw,18.31485,16.84189,16.228189999999998,15.860970000000002,15.678429999999999,0.04951322,0.006088316999999999,0.005427815999999999,0.006011189,0.01577919,18.27437,16.8121,16.20658,15.84459,15.666820000000001
138,cw,18.836660000000002,17.469520000000003,16.87624,16.521639999999998,16.30592,0.05315643,0.007448474,0.006996088,0.007570436999999999,0.01819555,18.780070000000002,17.42788,16.84603,16.498739999999998,16.28968
139,cw,16.014770000000002,14.48365,13.830820000000001,13.50317,13.30001,0.01046992,0.002159918,0.002011746,0.0020400870000000003,0.003555654,15.891739999999999,14.39313,13.765170000000001,13.453389999999999,13.264710000000001
140,cw,19.33227,17.32276,16.24933,15.76469,15.414029999999999,0.05877717,0.005812469000000001,0.003998634,0.0039224590000000005,0.008823371,19.21535,17.236720000000002,16.18693,15.71737,15.38049
